,百合,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,5,3N,4,4D,36
1,Back T.,421,536,197,355,372,536,197,394,366,3374
2,Reg　T,388,503,153,334,339,503,175,366,339,3100
3,Ladies T,311,370,153,306,244,410,148,279,284,2505
4,Hdcp,4,2,8,6,5,1,9,3,7,­
