,南,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5.0,4.0,3N,4.0,5D,4.0,3.0,36
1,Back T.,419.0,388.0,490.0,383.0,172,372.0,482,360.0,208.0,3274
2,Reg.,385.0,366.0,475.0,362.0,152,362.0,471,350.0,172.0,3095
3,Hdcp,,,,,,,,,,­
