,東イン,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3N,4.0,4.0,4.0,5D,3.0,5.0,36
1,Back T.,381.0,322.0,195,373.0,424.0,325.0,482,139.0,504.0,3145
2,Reg.,359.0,306.0,180,345.0,383.0,315.0,471,124.0,483.0,2966
3,Hdcp,,,,,,,,,,­
