,エメラルド　IN,10,11,12,13,14,15,16,17,18,計
0,Par,3N,4,4,3,5,4,4D,3N,5D,35
1,Back T.,142,275,400,154,584,375,390,200,430,2950
2,Reg.T.,127,263,384,137,574,359,379,176,416,2815
3,Ladies.T,91,246,279,115,431,292,369,104,407,2334
4,Hdcp,18,10,4,16,2,8,6,14,12,­
