,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,5,4,4,4,4,3,4,36
1,Back T.,574,168,495,370,323,386,333,148,427,3224
2,Reg T.,561,145,478,360,311,378,318,135,415,3101
3,Gold Ｔ.,517,127,426,325,258,273,293,107,359,2685
4,Hdcp,2,8,5,4,7,1,6,9,3,­
