,ダイヤモンド　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4,4,5,4D,3N,4D,36
1,Back T.,350,510,145,455,395,515,455,120,355,3300
2,Reg.T.,335,490,130,440,385,505,445,110,344,3184
3,Ladies.T,307,461,130,254,354,423,346,99,344,2718
4,Hdcp,4,10,16,2,14,8,6,18,12,­
