,GI　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3,4,3,5,4,35
1,BACK,364,327,302,412,160,360,141,536,392,2994
2,REG,354,304,286,400,139,339,127,518,384,2851
3,Hdcp,9,3,15,1,13,7,17,5,11,­
