,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4D,4,3N,5,4,4,36
1,Blue,594,393,220,453,355,191,550,421,410,3587
2,White,575,372,197,429,332,178,534,390,391,3398
3,Red,476,336,138,321,323,169,451,369,361,2944
4,Hdcp,4,8,2,1,9,7,5,3,6,­
