,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,5,3N,4,4,4,5D,37
1,Blue,544,330,214,616,180,381,356,376,570,3567
2,White,519,303,173,591,164,354,319,356,520,3299
3,Red,514,293,162,550,139,324,313,325,477,3097
4,Hdcp,6,8,3,1,9,5,7,2,4,­
