,西,1,2,3,4,5,6,7,8,9,計
0,Par,3,5,5,4,4,4,4,4,3,36
1,Back T.,146,477,578,368,269,255,268,289,155,2805
2,Reg　T.,131,434,538,359,269,251,261,284,140,2667
3,Gold Ｔ.,116,423,434,269,247,244,253,277,135,2398
4,Hdcp,8,5,2,1,7,4,6,3,9,­
