,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4,5D,4,3,5,37
1,Back,395,456,221,513,424,590,447,199,577,3822
2,Regular,370,372,182,484,359,563,394,170,532,3426
3,Front,355,360,165,435,351,512,353,158,468,3157
4,PRINCE,285,284,122,393,314,456,311,142,446,2753
5,Hdcp,10,4,16,8,14,2,12,18,6,­
