,白ゆり,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3N,4,5,4,4,4D,3N,36
1,A01_BackT.,413,496,113,366,415,344,410,375,184,3116
2,A02_Reg.,397,479,101,350,399,328,387,359,159,2959
3,A03_Gold,384,463,93,342,378,314,297,350,130,2751
4,A04_Ladies,346,357,93,307,304,314,297,305,130,2453
5,B01_BackT.,385,494,138,354,402,314,400,357,191,3035
6,B02_Reg.,369,477,126,338,386,298,377,341,166,2878
7,B03_Gold,356,461,118,330,365,284,287,332,137,2670
8,B04_Ladies,318,355,118,295,291,284,287,287,137,2372
9,Hdcp,2,5,8,4,1,7,3,6,9,­
