,GⅡ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3,4,3,5,4,35
1,BACK,360,327,302,381,150,344,125,536,381,2906
2,REG,350,304,286,369,129,323,111,518,373,2763
3,Hdcp,9,3,15,1,13,7,17,5,11,­
