,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,3,4,5,4D,36
1,BACK,373,394,128,427,351,153,352,507,398,3083
2,REGULAR,357,373,120,415,340,136,341,498,381,2961
3,Hdcp,3,9,15,1,7,13,17,5,11,­
