,ウエスト,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,4D,3N,4,4,3,5,36
1,Black,359,307,495,309,135,311,250,153,485,2804
2,Blue,346,292,457,295,130,286,234,139,470,2649
3,White,343,284,435,290,114,283,223,129,464,2565
4,Green,343,203,380,150,97,283,223,129,333,2141
5,Hdcp,5,8,2,1,7,4,9,6,3,­
