,イン,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,4,3,4,4,4,5D,35
1,BACK,320,385,201,270,129,257,297,322,408,2589
2,REGULAR,297,371,181,257,123,242,279,307,394,2451
3,Hdcp,10,4,16,8,14,2,18,12,6,­
