,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,4,5,3,5,4D,36
1,Champion,359,346,343,181,367,504,101,555,407,3163
2,Back,343,326,343,164,356,478,93,530,382,3015
3,Front,343,317,321,147,342,453,90,508,360,2881
4,Ladies,320,303,301,119,328,434,90,448,330,2673
5,Hdcp,13,5,15,9,11,3,17,1,7,­
