,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,4,3,4D,4,4,3N,5,36
1,Champion,404,510,438,192,488,353,385,188,522,3480
2,Back,404,498,417,192,453,336,371,168,522,3361
3,Reg.,384,483,390,176,424,318,352,149,506,3182
4,Front,338,452,326,161,403,294,338,142,469,2923
5,Ladies,338,452,326,143,366,294,338,133,439,2829
6,Hdcp,16,10,4,14,2,8,12,18,6,­
