,東アウト,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3N,4.0,4.0,4D,4.0,5.0,4.0,3.0,36
1,Back T.,506.0,188,370.0,375.0,417,297.0,498.0,382.0,185.0,3218
2,Reg.,482.0,161,345.0,361.0,395,294.0,480.0,358.0,165.0,3041
3,Hdcp,,,,,,,,,,­
