,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3.0,4.0,5.0,4D,4.0,3N,4.0,36
1,Back T.,490.0,265.0,168.0,356.0,492.0,441,321.0,155,367.0,3055
2,Regular T.,465.0,262.0,153.0,344.0,469.0,430,294.0,139,344.0,2900
3,Hdcp,,,,,,,,,,­
