,イン,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3.0,4.0,5D,3N,4.0,4.0,4.0,36
1,Back T.,482.0,314.0,137.0,467.0,476,139,351.0,355.0,397.0,3118
2,Regular T.,475.0,302.0,129.0,447.0,464,128,336.0,344.0,385.0,3010
3,Hdcp,,,,,,,,,,­
