,アウト,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,5,4,4D,3,4,36
1,Black,378,438,314,129,465,391,370,159,359,3003
2,Blue,363,428,314,129,440,385,361,145,334,2899
3,White,363,414,314,129,425,373,346,136,307,2807
4,Green,201,308,314,129,372,269,216,136,259,2204
5,Hdcp,9,3,15,13,1,7,5,17,11,­
