,真鶴ショートコース,1,2,3,4,5,6,7,8,9,計
0,Par,3,3,3,3,3,3,3,3,3,27
1,バック,90,198,211,93,97,180,178,109,109,1265
2,レギュラー,90,148,148,93,97,180,143,109,95,1103
3,Hdcp,7,1,2,6,8,3,4,5,9,­
