,藤,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,3N,5,4,4D,36
1,Back T.,355,541,405,186,312,158,492,394,416,3259
2,Reg　T,323,509,383,169,279,135,476,372,394,3040
3,Ladies T,323,461,361,153,279,135,404,324,379,2819
4,Hdcp,6,3,1,8,2,9,4,5,7,­
