,薔薇,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,4,3N,5,3,4N,4D,4,36
1,バック,413,496,375,184,516,137,406,379,363,3269
2,レギュラー,397,479,359,159,502,127,394,358,350,3125
3,フロント,381,463,350,130,481,120,372,349,339,2985
4,Hdcp,2,5,8,4,1,7,3,9,6,­
