,西　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4D,4,3N,5,4,3,4,4,36
1,Back T.,557,435,355,185,494,324,176,391,372,3289
2,Reg.,545,420,336,150,448,302,155,362,351,3069
3,LADIES,522,399,312,122,448,285,114,335,324,2861
4,Hdcp,3,5,13,15,7,17,11,1,9,­
