,ダイヤモンド　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4D,3N,5,4,5D,4,36
1,Back T.,406,165,288,427,165,556,462,500,340,3309
2,Reg.T.,386,145,272,390,155,535,442,484,320,3129
3,Ladies.T,372,122,272,335,127,508,291,408,310,2745
4,Hdcp,5,15,9,7,13,1,3,11,17,­
