,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,4,3N,4,5D,36
1,Back T.,383,476,373,176,410,406,140,325,540,3229
2,Reg.,353,451,361,159,395,387,118,307,519,3050
3,LADIES,334,440,343,140,363,375,101,296,486,2878
4,Hdcp,8,16,10,12,2,6,14,18,4,­
