,エメラルド　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5,5D,4,3N,4D,36
1,Back T.,338,325,304,118,408,487,376,137,313,2806
2,Reg.T.,319,293,283,105,393,478,353,119,295,2638
3,Ladies.T,255,204,249,85,301,386,292,104,264,2140
4,Hdcp,9,5,13,17,7,1,3,15,11,­
