,イン,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,5,4,3,4,4,5,3N,36
1,Black,363,335,487,305,132,351,387,508,163,3031
2,Blue,346,319,457,298,128,344,375,485,151,2903
3,White,329,270,400,287,124,322,355,392,139,2618
4,Green,236,270,287,161,124,210,275,392,105,2060
5,Hdcp,10,16,4,8,14,2,12,6,18,­
