,東　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3,4,3,5,4,35
1,Back,382,418,405,387,173,330,188,501,371,3155
2,Reg,367,393,380,369,157,323,167,485,354,2995
3,Front,295,304,295,295,123,253,125,418,263,2371
4,Hdcp,9,3,5,1,11,17,7,15,13,­
