,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,3,5,5,3N,4D,5,36
1,Black,393,172,368,142,585,538,178,411,489,3276
2,White,358,123,346,131,549,519,135,394,467,3022
3,Red,358,111,330,131,504,507,123,343,427,2834
4,Hdcp,16,4,10,8,2,14,12,6,18,­
