,ウエスト,1,2,3,4,5,6,7,8,9,計
0,Par,3N,4,4,4,4,4,4,3,5D,35
1,BACK,137,319,338,314,313,377,295,145,484,2722
2,REGULAR,120,294,327,300,293,358,278,136,469,2575
3,Hdcp,8,5,2,7,4,1,3,9,6,­
