,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,4.0,4.0,3N,5D,4.0,4.0,3.0,5.0,36
1,BACK,363.0,404.0,310.0,143,437,362.0,391.0,192.0,545.0,3147
2,REGULAR,347.0,384.0,286.0,135,422,345.0,374.0,177.0,524.0,2994
3,Hdcp,,,,,,,,,,­
