,桜,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4,3N,4D,4,4,5,36
1,Back T.,361,186,519,366,180,399,373,405,549,3338
2,Reg　T,344,164,487,344,170,388,341,383,514,3135
3,Ladies T,326,148,385,271,153,361,313,287,372,2616
4,Hdcp,3,8,1,5,9,2,6,4,7,­
