,南,1,2,3,4,5,6,7,8,9,計
0,Par,3,5,3,4,4,4,5,4,4,36
1,Back T.,193,492,133,320,365,372,487,346,313,3021
2,Reg T.,175,482,127,308,357,353,473,320,305,2900
3,Gold Ｔ.,135,400,84,255,354,302,353,282,261,2426
4,Hdcp,5,2,8,7,4,1,3,6,9,­
