,南,1,2,3,4,5,6,7,8,9,計
0,Par,4D,3,4,4,4,5,4,3N,5,36
1,Blue,419,133,391,397,307,510,434,151,452,3194
2,White,399,108,387,362,290,497,384,146,425,2998
3,Red,300,108,384,357,260,455,375,115,382,2736
4,Hdcp,2,8,7,3,5,4,1,9,6,­
