,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Aberystwyth Golf Club,White,M,70,70.5,93.7,125,35.3  /  122,35.2  /  128
,Yellow,M,68,68.9,91.5,122,34.7  /  119,34.2  /  124
,Winter Male,M,66,66.5,88.3,117,34.6  /  119,31.9  /  115
,Yellow mixed tees,M,66,65.8,87.6,117,32.9  /  117,32.9  /  117
,Winter male mixed,M,66,65.8,87.4,116,32.9  /  116,32.9  /  116
,Red,F,71,70.5,98.4,118,35.7  /  116,34.8  /  120
,Winter Female,F,69,68.8,95.8,115,35.7  /  116,33.1  /  113
,Red mixed nine,F,72,67.8,95.6,118,33.9  /  118,33.9  /  118
Borth & Ynyslas Golf Club,White,M,70,70.7,94.5,128,36.4  /  133,34.3  /  123
,Yellow,M,69,69.0,92.2,125,35.5  /  130,33.5  /  119
,Red Male,M,67,67.4,89.9,121,34.6  /  126,32.8  /  116
,Green male,M,66,65.7,87.4,117,33.9  /  123,31.8  /  111
,White female,F,72,75.7,106.2,130,39.1  /  136,36.6  /  123
,Yellow female,F,72,73.6,103.1,125,38.0  /  131,35.6  /  119
,Red,F,72,71.7,100.1,120,36.9  /  126,34.8  /  114
,Green female,F,69,69.4,96.6,116,36.0  /  122,33.4  /  109
Cardiff,White,M,70,70.4,95.7,137,35.4  /  138,35.0  /  135
,Yellow,M,69,68.9,93.7,134,34.2  /  136,34.7  /  131
,Yellow Female,F,73,73.9,106.6,139,37.2  /  137,36.7  /  140
,Red,F,73,72.6,104.6,136,36.1  /  131,36.5  /  141
Celtic Manor - 2010,Blue,M,72,76.9,102.9,140,39.5  /  137,37.4  /  143
,2010 Male Mixed Tees,M,72,74.6,99.0,132,37.3  /  132,37.3  /  132
,White,M,71,74.4,99.2,134,38.1  /  128,36.3  /  139
,Yellow,M,71,72.3,96.5,131,37.1  /  125,35.2  /  136
,Red Male,M,70,68.3,90.9,122,35.0  /  116,33.3  /  127
,White Female,F,78,79.6,113.2,143,40.7  /  141,38.9  /  144
,Yellow Female,F,75,77.7,110.3,139,39.7  /  136,38.0  /  141
,Red,F,71,73.6,103.9,129,37.8  /  127,35.8  /  130
Celtic Manor - Montgomery,White,M,69,70.5,93.6,124,35.5  /  132,35.0  /  116
