,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Brecon,White,M,70,70.2,93.5,126,35.1  /  125,35.1  /  126
,Yellow,M,70,69.5,92.5,124,34.7  /  124,34.8  /  124
,Red,F,72,72.2,100.9,122,36.1  /  122,36.1  /  121
Builth Wells,White,M,66,67.0,89.8,123,34.2  /  125,32.8  /  121
,Yellow,M,66,66.0,88.6,122,33.6  /  123,32.4  /  121
,Blue Male Junior,M,64,61.6,82.0,110,30.8  /  107,30.8  /  113
,Red,F,69,71.0,99.9,123,36.2  /  125,34.8  /  120
,Blue Female Junior,F,66,66.0,91.3,108,32.7  /  106,33.3  /  109
Cradoc Golf Club,White,M,71,71.1,94.7,127,36.1  /  126,35.0  /  128
,Yellow,M,69,69.6,92.6,124,35.2  /  122,34.4  /  126
,Red,F,72,72.3,101.7,125,36.1  /  124,36.2  /  126
Glynneath Golf Club,Yellow,M,71,68.9,92.8,129,35.0  /  132,33.9  /  125
,White Winter Male,M,69,68.5,92.0,127,34.2  /  127,34.3  /  126
,Red Winter Female,F,72,69.5,99.7,129,35.5  /  126,34.0  /  131
Knighton Golf Club,White,M,68,65.5,84.0,100,32.8  /  100,32.7  /  99
,Yellow,M,68,62.6,78.9,88,31.3  /  88,31.3  /  87
,Red,F,70,66.8,92.4,109,33.4  /  109,33.4  /  109
Llandrindod Wells Golf Club,White,M,69,68.5,88.9,110,34.3  /  113,34.2  /  107
,Yellow,M,69,67.5,87.4,107,33.5  /  110,34.0  /  104
,Seniors,M,68,67.1,86.7,106,33.4  /  109,33.7  /  102
,Green Male,M,68,67.0,86.6,106,33.4  /  109,33.6  /  102
,Yellow Female,F,71,72.2,101.6,125,36.0  /  124,36.2  /  126
,Red,F,72,71.2,99.6,121,35.8  /  122,35.4  /  119
Machynlleth Golf Club,White,M,68,68.8,90.1,115,34.4  /  115,34.4  /  114
,Yellow,M,66,67.8,88.6,112,33.9  /  112,33.9  /  112
,Red,F,70,69.6,97.0,116,34.8  /  116,34.8  /  116
St Giles,White,M,69,69.4,93.1,128,34.8  /  128,34.6  /  127
,Yellow,M,68,68.2,91.4,125,34.1  /  125,34.1  /  125
,Red,F,69,71.2,100.1,123,36.0  /  125,35.2  /  120
Welshpool,Green,M,70,69.5,92.7,125,33.7  /  124,35.8  /  126
,White,M,70,68.9,91.9,124,33.4  /  122,35.5  /  126
,Yellow,M,70,67.9,90.3,121,32.8  /  119,35.1  /  122
,Red,F,69,68.9,95.3,112,33.4  /  110,35.5  /  114
