,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Aberdare Golf Club,White,M,69,69.3,92.1,123,35.2  /  125,34.1  /  121
,Yellow,M,69,68.2,89.4,114,34.5  /  116,33.7  /  112
,Green (Winter) Male,M,66,67.0,87.4,110,33.7  /  111,33.3  /  109
,Blue male,M,60,60.7,78.8,98,30.8  /  101,29.9  /  94
,Red,F,69,70.2,98.5,120,35.1  /  120,35.1  /  120
,Blue Female,F,63,62.9,87.6,105,32.0  /  108,30.9  /  102
Morlais Castle Golf Club,White,M,71,71.9,96.0,130,36.5  /  131,35.4  /  128
,Yellow,M,71,70.8,94.6,128,35.7  /  129,35.1  /  127
,Red,F,71,72.5,100.8,120,36.6  /  119,35.9  /  121
Mountain Ash Golf Club,Blue,M,69,67.7,88.7,113,34.1  /  113,33.6  /  113
,White,M,69,66.9,87.6,112,33.7  /  112,33.2  /  111
,Yellow,M,68,66.3,86.6,110,33.5  /  110,32.8  /  109
,Red,F,71,69.5,98.5,123,35.5  /  126,34.0  /  120
Rhondda Golf Club,White,M,70,69.9,93.2,126,34.6  /  125,35.3  /  126
,Yellow,M,70,68.7,91.0,120,33.9  /  121,34.8  /  119
,Blue,M,57,57.6,73.1,84,26.9  /  72,30.7  /  95
,Red,F,70,69.8,97.8,119,34.3  /  120,35.5  /  118
