,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Abergele Golf Club,Blue,M,72,71.8,95.4,127,35.6  /  128,36.2  /  126
,White,M,71,71.8,94.7,124,35.4  /  122,36.4  /  125
,Yellow,M,70,69.4,91.4,119,34.0  /  114,35.4  /  123
,Red Male,M,68,67.3,88.2,113,33.0  /  109,34.3  /  116
,White Female,F,76,76.4,108.2,135,37.8  /  131,38.6  /  139
,Yellow Female,F,75,74.6,104.2,126,36.4  /  120,38.2  /  131
,Red,F,72,72.4,100.2,118,35.3  /  114,37.1  /  122
Betws y Coed Golf Club,White,M,64,64.4,83.0,100,32.1  /  100,32.3  /  100
,Yellow,M,64,63.4,81.1,96,31.5  /  96,31.9  /  95
,Red,F,64,65.3,88.8,100,32.5  /  99,32.8  /  100
Llandudno Maesdu Golf Club,White,M,72,72.2,96.5,131,36.0  /  135,36.2  /  127
,Yellow,M,72,70.6,94.7,130,35.5  /  131,35.1  /  128
,Yellow Winter,M,69,69.1,92.6,127,34.3  /  127,34.8  /  126
,Red,F,74,73.4,102.9,125,37.4  /  132,36.0  /  118
,Winter Red,F,74,73.0,102.0,123,37.1  /  129,35.9  /  117
Old Colwyn Golf Club,White,M,68,67.2,89.3,119,33.7  /  119,33.5  /  118
,Yellow,M,66,64.6,84.7,109,32.3  /  108,32.3  /  109
,Red,F,68,68.5,96.3,118,34.3  /  115,34.2  /  120
