,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Neath Golf Club,Championship,M,72,72.2,97.1,134,36.1  /  136,36.1  /  132
,White,M,72,71.7,96.3,132,35.7  /  133,36.0  /  131
,Yellow,M,72,71.2,95.8,132,35.5  /  133,35.7  /  131
,Green,M,72,68.5,91.6,125,34.3  /  125,34.2  /  124
,Red,F,72,70.9,99.4,121,35.8  /  121,35.1  /  120
Swansea Bay Golf Club,White,M,71,71.6,95.7,130,35.6  /  123,36.0  /  137
,Yellow (Long),M,70,69.6,92.4,123,34.6  /  119,35.0  /  126
,Winter male,M,68,68.2,90.6,121,33.7  /  116,34.5  /  125
,Yellow,M,68,68.2,90.6,121,33.7  /  116,34.5  /  125
,Red Male,M,68,66.1,87.6,116,32.6  /  111,33.5  /  121
,Blue Male,M,64,62.6,82.4,107,30.8  /  101,31.8  /  112
,Blue Junior,M,63,62.5,82.0,105,31.2  /  103,31.3  /  107
,White Female 2019,F,76,76.8,110.2,142,38.3  /  141,38.5  /  142
,Yellow Female,F,75,74.8,107.3,138,37.5  /  137,37.3  /  138
,Winter female 2019,F,73,73.3,104.9,134,36.4  /  132,36.9  /  136
,Red,F,72,70.5,100.8,129,35.0  /  126,35.5  /  131
,Blue junior girl,F,68,66.2,94.1,118,33.0  /  115,33.2  /  121
,Blue Female,F,68,66.0,94.0,119,32.5  /  116,33.5  /  121
TATA Steel Golf Club,White,M,64,63.6,84.3,112,31.8  /  111,31.8  /  112
,Yellow,M,62,62.3,82.3,108,31.1  /  108,31.2  /  108
,Winter White,M,58,60.8,80.2,104,30.4  /  104,30.4  /  104
,Winter Yellow,M,58,59.9,78.9,102,29.9  /  102,30.0  /  102
,Red,F,68,66.1,93.0,114,33.0  /  114,33.1  /  114
,Winter Red,F,64,63.0,88.0,106,31.5  /  106,31.5  /  106
