,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Coed-Y-Mwstwr,White,M,69,67.8,91.4,127,32.4  /  125,35.4  /  129
,Yellow,M,69,66.5,89.6,125,31.9  /  123,34.6  /  126
,Red,F,70,70.1,98.2,119,33.1  /  114,37.0  /  124
Maesteg Golf Club,White,M,69,68.5,90.6,119,33.3  /  118,35.2  /  119
,Yellow,M,69,67.4,89.1,117,32.5  /  112,34.9  /  122
,Red,F,71,70.0,98.4,120,34.4  /  120,35.6  /  121
Pyle & Kenfig Golf Club,Blue,M,71,74.0,98.8,134,36.5  /  135,37.5  /  132
,White,M,71,72.8,96.8,129,35.8  /  128,37.0  /  130
,Yellow,M,70,70.6,94.3,128,35.2  /  129,35.4  /  126
,Winter Male,M,70,69.8,92.9,125,34.8  /  126,35.0  /  123
,Red,F,71,72.7,104.4,135,37.0  /  136,35.7  /  133
Royal Porthcawl Golf Club,Black,M,74,76.2,102.4,141,37.8  /  140,38.4  /  142
,Blue,M,72,75.3,101.1,139,37.5  /  139,37.8  /  139
,White,M,72,73.6,98.8,136,36.5  /  136,37.1  /  136
,Yellow,M,72,72.0,96.9,134,35.7  /  133,36.3  /  135
,Red Male,M,69,70.0,94.0,129,34.7  /  129,35.3  /  129
,Bronze Male,M,67,68.1,91.4,126,33.6  /  125,34.5  /  126
,Black Female,F,80,81.7,119.8,155,40.6  /  155,41.1  /  155
,Blue Female,F,79,81.1,117.4,154,40.5  /  153,40.6  /  155
,White Female,F,77,79.3,114.7,150,39.4  /  146,39.9  /  154
,Yellow Female,F,76,78.4,113.3,148,38.8  /  144,39.6  /  152
,Red,F,75,76.0,109.5,142,37.6  /  138,38.4  /  146
,Bronze Female,F,72,73.9,106.3,138,36.5  /  133,37.4  /  142
Southerndown Golf Club,Blue,M,70,73.6,96.3,122,37.2  /  125,36.4  /  119
,Black,M,70,72.9,95.4,121,36.7  /  123,36.2  /  119
,White,M,70,72.7,94.8,119,36.5  /  122,36.2  /  116
,Yellow,M,69,70.6,92.2,116,35.5  /  117,35.1  /  115
,Yellow Winter Male,M,68,68.8,89.6,112,34.6  /  113,34.2  /  111
,Red,F,71,72.5,100.6,119,36.7  /  121,35.8  /  117
,Winter Red,F,70,71.4,98.8,117,36.1  /  119,35.3  /  114
St Mary's Golf & Country Club,White,M,69,66.1,87.6,116,33.5  /  113,32.6  /  118
,Yellow,M,69,65.1,86.1,113,33.1  /  112,32.0  /  114
,Winter,M,69,64.1,84.7,111,32.6  /  110,31.5  /  111
St Mary's Golf & Country Club - Saint Mary's Golf & Country Club,Red,F,72,70.1,100.8,130,35.8  /  131,34.3  /  130
