,大分県
0,久住高原ゴルフ倶楽部OUT
1,別府ゴルフ倶楽部東
2,別府の森ゴルフ倶楽部南
3,別府の森ゴルフ倶楽部西
4,別府の森ゴルフ倶楽部東
5,別府ゴルフ倶楽部南
6,別府ゴルフ倶楽部西
7,久住高原ゴルフ倶楽部IN
