,uuid,address,courseName
0,980503,沖縄県国頭郡恩納村字冨着1043,PGMゴルフリゾート沖縄
1,980505,沖縄県名護市字安部156-2,カヌチャリゾート　カヌチャゴルフコース
2,980503&cd=2&hl=ja&ct=clnk&gl=jp,沖縄県国頭郡恩納村字冨着1043,PGMゴルフリゾート沖縄
3,985301,沖縄県名護市字喜瀬1107－1,かねひで喜瀬カントリークラブ
4,985301&cd=2&hl=ja&ct=clnk&gl=jp,沖縄県名護市字喜瀬1107－1,かねひで喜瀬カントリークラブ
5,980505&cd=2&hl=ja&ct=clnk&gl=jp,沖縄県名護市字安部156-2,カヌチャリゾート　カヌチャゴルフコース
6,220201,岩手県一関市萩荘字黒木1-4,一関カントリークラブ
7,224101,岩手県八幡平市大更47-34-2,南部富士カントリークラブ
8,221102,岩手県九戸郡軽米町大字円子2－4－1,ニュー軽米カントリークラブ
9,220201&cd=5&hl=ja&ct=clnk&gl=jp,岩手県一関市萩荘字黒木1-4,一関カントリークラブ
10,221102&cd=1&hl=ja&ct=clnk&gl=jp,岩手県九戸郡軽米町大字円子2－4－1,ニュー軽米カントリークラブ
11,224101&cd=5&hl=ja&ct=clnk&gl=jp,岩手県八幡平市大更47-34-2,南部富士カントリークラブ
12,221102&cd=3&hl=ja&ct=clnk&gl=jp,岩手県九戸郡軽米町大字円子2－4－1,ニュー軽米カントリークラブ
13,334501,群馬県渋川市赤城町北赤城山15-64,ノーザンカントリークラブ赤城ゴルフ場
14,330203,群馬県吾妻郡東吾妻町岡崎1301,伊香保ゴルフ倶楽部
15,332101,群馬県高崎市吉井町岩崎2179,サンコー72カントリークラブ
16,330203&cd=1&hl=ja&ct=clnk&gl=jp,群馬県吾妻郡東吾妻町岡崎1301,伊香保ゴルフ倶楽部
17,331304,群馬県藤岡市下日野字恋の沢1581,グリーンパークカントリークラブ
18,330203&cd=2&hl=ja&ct=clnk&gl=jp,群馬県吾妻郡東吾妻町岡崎1301,伊香保ゴルフ倶楽部
19,332101&cd=5&hl=ja&ct=clnk&gl=jp,群馬県高崎市吉井町岩崎2179,サンコー72カントリークラブ
20,330101,群馬県前橋市富士見町赤城山2036,赤城国際カントリークラブ
21,331101,群馬県高崎市吉井町長根2718,関越ハイランドゴルフクラブ
22,332101&cd=2&hl=ja&ct=clnk&gl=jp,群馬県高崎市吉井町岩崎2179,サンコー72カントリークラブ
23,331304&cd=5&hl=ja&ct=clnk&gl=jp,群馬県藤岡市下日野字恋の沢1581,グリーンパークカントリークラブ
24,330201,群馬県渋川市伊香保町伊香保654,伊香保カントリークラブ
25,334501&cd=5&hl=ja&ct=clnk&gl=jp,群馬県渋川市赤城町北赤城山15-64,ノーザンカントリークラブ赤城ゴルフ場
26,332202,群馬県藤岡市浄法寺2827,上武カントリークラブ
27,331101&cd=2&hl=ja&ct=clnk&gl=jp,群馬県高崎市吉井町長根2718,関越ハイランドゴルフクラブ
28,330101&cd=3&hl=ja&ct=clnk&gl=jp,群馬県前橋市富士見町赤城山2036,赤城国際カントリークラブ
29,330201&cd=5&hl=ja&ct=clnk&gl=jp,群馬県渋川市伊香保町伊香保654,伊香保カントリークラブ
30,330202,群馬県渋川市川島2470-8,伊香保国際カンツリークラブ
31,334501&cd=13&hl=ja&ct=clnk&gl=jp,群馬県渋川市赤城町北赤城山15-64,ノーザンカントリークラブ赤城ゴルフ場
32,330202&cd=5&hl=ja&ct=clnk&gl=jp,群馬県渋川市川島2470-8,伊香保国際カンツリークラブ
33,330502,群馬県太田市西長岡町1524,太田双葉カントリークラブ
34,330502&cd=4&hl=ja&ct=clnk&gl=jp,群馬県太田市西長岡町1524,太田双葉カントリークラブ
35,330502&cd=5&hl=ja&ct=clnk&gl=jp,群馬県太田市西長岡町1524,太田双葉カントリークラブ
36,332202&cd=2&hl=ja&ct=clnk&gl=jp,群馬県藤岡市浄法寺2827,上武カントリークラブ
37,651502,奈良県天理市山田町888番地,ナパラゴルフクラブ 一本松コース
38,656401,奈良県奈良市荻町709,奈良名阪ゴルフクラブ（旧奈良OGMGC）
39,651101,奈良県天理市福住町7453,春日台カントリークラブ
40,651201,奈良県奈良市下狭川町1824,木津川カントリー倶楽部
41,654110,奈良県奈良市下深川町850-6,奈良若草カントリー倶楽部
42,654110&cd=4&hl=ja&ct=clnk&gl=jp,奈良県奈良市下深川町850-6,奈良若草カントリー倶楽部
43,651501,奈良県奈良市月ケ瀬石打1456,ＫＯＭＡカントリークラブ
44,656401&cd=2&hl=ja&ct=clnk&gl=jp,奈良県奈良市荻町709,奈良名阪ゴルフクラブ（旧奈良OGMGC）
45,651501&cd=5&hl=ja&ct=clnk&gl=jp,奈良県奈良市月ケ瀬石打1456,ＫＯＭＡカントリークラブ
46,651301,奈良県吉野郡吉野町色生810-1,グランデージゴルフ倶楽部
47,654110&cd=5&hl=ja&ct=clnk&gl=jp,奈良県奈良市下深川町850-6,奈良若草カントリー倶楽部
48,651301&cd=2&hl=ja&ct=clnk&gl=jp,奈良県吉野郡吉野町色生810-1,グランデージゴルフ倶楽部
49,651201&cd=5&hl=ja&ct=clnk&gl=jp,奈良県奈良市下狭川町1824,木津川カントリー倶楽部
50,654102,奈良県五條市今井町1141,奈良カントリークラブ
51,651101&cd=5&hl=ja&ct=clnk&gl=jp,奈良県天理市福住町7453,春日台カントリークラブ
52,651101&cd=13&hl=ja&ct=clnk&gl=jp,奈良県天理市福住町7453,春日台カントリークラブ
53,654102&cd=6&hl=ja&ct=clnk&gl=jp,奈良県五條市今井町1141,奈良カントリークラブ
54,651301&cd=1&hl=ja&ct=clnk&gl=jp,奈良県吉野郡吉野町色生810-1,グランデージゴルフ倶楽部
55,321503,栃木県真岡市三谷827,ゴールデンレイクスカントリークラブ
