,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,5,4D,3,4,4,36
1,フルバック,526,385,162,390,619,395,189,432,405,3503
2,バック,507,366,139,370,593,375,171,405,380,3306
3,レギュラー,507,366,138,350,501,344,141,405,356,3108
4,フロント,458,230,131,350,486,344,141,382,336,2858
5,レディース,440,230,138,285,412,301,114,332,269,2521
6,Hdcp,6,12,18,14,2,10,16,4,8,­
