,本コース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5D,3N,4,5,3,4,4,36
1,Back,389,393,518,165,370,569,204,386,370,3364
2,Front,345,370,475,142,348,542,160,317,341,3040
3,Ladies,315,357,394,142,272,467,120,289,238,2594
4,Hdcp,14,8,4,18,6,2,16,12,10,­
