,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5D,3,4,4,5,36
1,Back,326,441,335,175,527,219,408,366,560,3357
2,REGULAR,316,430,322,152,509,197,388,353,545,3212
3,FRONT,316,430,322,152,509,197,388,353,491,3158
4,Hdcp,17,1,15,11,13,5,9,7,3,­
