,南コース,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,5D,3N,4,4,5,36
1,Back,321,231,270,145,388,137,291,229,432,2444
2,Reg.,224,208,256,129,374,124,281,215,375,2186
3,Front,205,191,237,111,346,78,267,175,304,1914
4,Hdcp,1,2,3,7,5,8,6,9,4,­
