,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,5,4,4,3N,5,4D,36
1,Back,433,344,233,532,383,407,154,550,440,3476
2,Regular,415,297,211,515,354,378,143,501,421,3235
3,Ladies,335,238,137,440,283,343,115,461,350,2702
4,Hdcp,7,13,3,11,5,15,17,9,1,­
