,本コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4,5D,3,4,36
1,Back,391,599,398,187,403,404,549,155,395,3481
2,Front,364,570,365,159,380,373,495,113,339,3158
3,Ladies,317,499,301,159,325,275,408,113,339,2736
4,Hdcp,11,3,9,15,7,5,1,17,13,­
