Course,Green,Tee,CR,SR,Yards
うぐいす-きつつき,ベント,バック,77.0,141,6214
うぐいす-きつつき,ベント,レギュラー,75.5,138,5938
うぐいす-きつつき,ベント,フロント,72.6,132,5419
うぐいす-きつつき,ベント,ゴールド,68.7,123,4723
らいちょう-うぐいす,ベント,バック,76.3,134,6122
らいちょう-うぐいす,ベント,レギュラー,74.9,131,5867
らいちょう-うぐいす,ベント,フロント,71.9,125,5336
らいちょう-うぐいす,ベント,ゴールド,67.5,115,4556
きつつき-らいちょう,ベント,バック,76.1,131,6076
きつつき-らいちょう,ベント,レギュラー,74.6,129,5803
きつつき-らいちょう,ベント,フロント,72.9,125,5495
きつつき-らいちょう,ベント,ゴールド,69.0,116,4803
