Course,Green,Tee,CR,SR,Yards
石鎚-赤石,ベント,コンペ,73.2,133,6759
石鎚-赤石,ベント,青,72.3,131,6578
石鎚-赤石,ベント,白,70.5,128,6254
石鎚-赤石,ベント,銀,68.9,127,5963
石鎚-赤石,ベント,金,67.8,123,5700
石鎚-赤石,ベント,赤,65.5,119,5225
石鎚-赤石,ベント,桃,64.0,114,4950
石鎚-赤石,ベント,紫,62.9,112,4714
別子-石鎚,ベント,コンペ,72.9,135,6753
別子-石鎚,ベント,青,72.0,133,6582
別子-石鎚,ベント,白,70.5,130,6264
別子-石鎚,ベント,銀,69.1,129,5984
別子-石鎚,ベント,金,68.1,125,5742
別子-石鎚,ベント,赤,65.7,120,5230
別子-石鎚,ベント,桃,64.0,114,4920
別子-石鎚,ベント,紫,62.8,113,4683
赤石-別子,ベント,コンペ,72.5,135,6694
赤石-別子,ベント,青,71.9,133,6556
赤石-別子,ベント,白,70.2,130,6242
赤石-別子,ベント,銀,69.0,127,5965
赤石-別子,ベント,金,67.9,124,5712
赤石-別子,ベント,赤,65.6,117,5227
赤石-別子,ベント,桃,64.4,113,4972
赤石-別子,ベント,紫,63.3,112,4739
