Course,Green,Tee,CR,SR,Yards
伊吹-鈴鹿,ベントR,レギュラー,77.1,135,6520
伊吹-鈴鹿,ベントR,フロント,74.1,129,5940
伊吹-鈴鹿,ベントR,レディース,70.0,119,5244
伊吹-鈴鹿,ベントB,レギュラー,76.3,133,6342
伊吹-鈴鹿,ベントB,フロント,73.3,127,5773
伊吹-鈴鹿,ベントB,レディース,69.1,118,5078
鈴鹿-比良,ベントR,レギュラー,76.9,136,6471
鈴鹿-比良,ベントR,フロント,73.9,130,5884
鈴鹿-比良,ベントR,レディース,70.2,122,5208
鈴鹿-比良,ベントB,レギュラー,76.2,134,6324
鈴鹿-比良,ベントB,フロント,73.2,128,5748
鈴鹿-比良,ベントB,レディース,69.4,120,5075
比良-伊吹,ベントR,レギュラー,76.6,138,6425
比良-伊吹,ベントR,フロント,73.8,132,5908
比良-伊吹,ベントR,レディース,69.8,124,5212
比良-伊吹,ベントB,レギュラー,76.1,136,6294
比良-伊吹,ベントB,フロント,73.3,131,5779
比良-伊吹,ベントB,レディース,69.1,123,5083
