Course,Green,Tee,CR,SR,Yards
アウト-イン,コーライ,バック,71.5,129,6510
アウト-イン,コーライ,レギュラー,69.9,126,6174
アウト-イン,コーライ,フロント,68.7,123,5893
アウト-イン,コーライ,レディース,66.9,120,5520
