Course,Green,Tee,CR,SR,Yards
甲斐-駿河,右グリーン,バック1,80.2,143,7100
甲斐-駿河,右グリーン,バック2,79.5,141,6980
甲斐-駿河,右グリーン,レギュラー,76.2,135,6379
甲斐-駿河,右グリーン,ゴールド,72.1,126,5682
甲斐-駿河,右グリーン,レディース,69.4,120,5183
甲斐-駿河,左グリーン,バック1,80.1,143,7054
甲斐-駿河,左グリーン,バック2,79.5,141,6938
甲斐-駿河,左グリーン,レギュラー,76.2,134,6352
甲斐-駿河,左グリーン,ゴールド,71.9,125,5640
甲斐-駿河,左グリーン,レディース,69.2,120,5190
富士-甲斐,右グリーン,バック1,79.6,144,6989
富士-甲斐,右グリーン,バック2,79.4,144,6962
富士-甲斐,右グリーン,レギュラー,75.8,138,6341
富士-甲斐,右グリーン,ゴールド,71.9,129,5641
富士-甲斐,右グリーン,レディース,68.6,122,5032
富士-甲斐,左グリーン,バック1,79.5,144,6968
富士-甲斐,左グリーン,バック2,79.4,144,6941
富士-甲斐,左グリーン,レギュラー,76.0,137,6331
富士-甲斐,左グリーン,ゴールド,71.7,129,5620
富士-甲斐,左グリーン,レディース,68.5,122,5048
駿河-富士,左グリーン,バック1,79.4,143,6912
駿河-富士,左グリーン,バック2,78.9,141,6823
駿河-富士,左グリーン,レギュラー,76.0,136,6327
駿河-富士,左グリーン,ゴールド,72.0,127,5678
駿河-富士,左グリーン,レディース,69.1,122,5180
駿河-富士,右グリーン,バック1,79.0,142,6877
駿河-富士,右グリーン,バック2,78.5,141,6784
駿河-富士,右グリーン,レギュラー,75.8,135,6300
駿河-富士,右グリーン,ゴールド,72.0,127,5651
駿河-富士,右グリーン,レディース,69.0,122,5157
