Course,Green,Tee,CR,SR,Yards
IN-NEW,ベント,バック,72.1,131,6737
IN-NEW,ベント,レギュラー,70.4,126,6360
IN-NEW,ベント,フロント1,69.1,122,6035
IN-NEW,ベント,フロント2,69.0,122,6013
IN-NEW,グランプリ,バック,70.7,127,6440
IN-NEW,グランプリ,レギュラー,69.2,123,6063
IN-NEW,グランプリ,フロント1,68.0,119,5738
IN-NEW,グランプリ,フロント2,67.8,118,5716
OUT-IN,ベント,バック,72.1,131,6804
OUT-IN,ベント,レギュラー,70.2,125,6387
OUT-IN,ベント,フロント1,69.0,122,6072
OUT-IN,ベント,フロント2,68.9,122,6050
OUT-IN,グランプリ,バック,71.1,128,6597
OUT-IN,グランプリ,レギュラー,69.3,123,6180
OUT-IN,グランプリ,フロント1,68.1,119,5865
OUT-IN,グランプリ,フロント2,68.0,119,5843
NEW-OUT,ベント,バック,71.9,130,6711
NEW-OUT,ベント,レギュラー,70.0,125,6323
NEW-OUT,ベント,フロント1,69.3,123,6131
NEW-OUT,ベント,フロント2,69.3,123,6131
NEW-OUT,グランプリ,バック,70.2,125,6377
NEW-OUT,グランプリ,レギュラー,68.8,121,5989
NEW-OUT,グランプリ,フロント1,68.1,119,5797
NEW-OUT,グランプリ,フロント2,68.1,119,5797
