Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,チャンピオン,79.8,150,6921
アウト-イン,ベント,競技,79.2,148,6824
アウト-イン,ベント,ブルー(バック),77.6,145,6523
アウト-イン,ベント,ホワイト(フロント),75.5,140,6162
アウト-イン,ベント,ゴールド,73.2,136,5750
アウト-イン,ベント,レッド(レディース),70.8,130,5301
