Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,79.6,142,6825
アウト-イン,ベント,レギュラー,76.8,136,6321
アウト-イン,ベント,フロント1,74.7,132,5943
アウト-イン,ベント,レディース,73.1,128,5644
アウト-イン,ベント,シルバー,68.8,119,4882
