Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,80.1,146,7007
アウト-イン,ベント,レギュラー,77.2,140,6488
アウト-イン,ベント,フロント1,74.5,134,6010
アウト-イン,ベント,レディース2,72.6,127,5644
アウト-イン,ベント,レディース,70.0,124,5196
