Course,Green,Tee,CR,SR,Yards
アウト-イン,第一グリーン,チャンピオン,72.9,128,7051
アウト-イン,第一グリーン,バック,72.3,126,6913
アウト-イン,第一グリーン,レギュラー,71.2,126,6721
アウト-イン,第一グリーン,フロント1,69.1,124,6333
アウト-イン,第一グリーン,フロント2,67.1,119,5887
アウト-イン,第一グリーン,フロント3,64.1,112,5240
アウト-イン,第二グリーン,チャンピオン,72.6,129,6975
アウト-イン,第二グリーン,バック,71.8,128,6837
アウト-イン,第二グリーン,レギュラー,70.8,126,6644
アウト-イン,第二グリーン,フロント1,68.8,124,6256
アウト-イン,第二グリーン,フロント2,66.8,119,5812
アウト-イン,第二グリーン,フロント3,63.9,110,5171
