Course,Green,Tee,CR,SR,Yards
西-南,Aグリーン,BT1,72.5,128,6818
西-南,Aグリーン,BT2,71.2,125,6516
西-南,Aグリーン,RT,69.6,123,6163
西-南,Aグリーン,FT1,67.8,118,5753
西-南,Aグリーン,FT2,66.3,115,5399
西-南,Aグリーン,FT3,65.1,113,5142
西-南,Bグリーン,BT1,71.8,128,6674
西-南,Bグリーン,BT2,70.5,125,6372
西-南,Bグリーン,RT,68.8,123,6008
西-南,Bグリーン,FT1,67.0,118,5600
西-南,Bグリーン,FT2,65.4,115,5240
西-南,Bグリーン,FT3,64.3,113,4998
南-東,Aグリーン,BT1,72.2,132,6684
南-東,Aグリーン,BT2,71.1,130,6455
南-東,Aグリーン,RT,69.8,127,6139
南-東,Aグリーン,FT1,68.2,123,5778
南-東,Aグリーン,FT2,66.6,120,5413
南-東,Aグリーン,FT3,65.4,118,5155
南-東,Bグリーン,BT1,71.3,132,6514
南-東,Bグリーン,BT2,70.2,130,6251
南-東,Bグリーン,RT,68.8,127,5957
南-東,Bグリーン,FT1,67.5,124,5656
南-東,Bグリーン,FT2,65.9,121,5313
南-東,Bグリーン,FT3,64.8,119,5055
東-西,Aグリーン,BT1,72.1,132,6700
東-西,Aグリーン,BT2,71.1,129,6467
東-西,Aグリーン,RT,69.6,126,6136
東-西,Aグリーン,FT1,67.8,122,5713
東-西,Aグリーン,FT2,66.7,119,5454
東-西,Aグリーン,FT3,65.7,118,5235
東-西,Bグリーン,BT1,71.3,133,6508
東-西,Bグリーン,BT2,70.1,131,6241
東-西,Bグリーン,RT,68.6,128,5921
東-西,Bグリーン,FT1,67.1,124,5560
東-西,Bグリーン,FT2,65.9,122,5317
東-西,Bグリーン,FT3,65.1,120,5113
