Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント|左・ベント,チャンピオン,72.7,136,6880
アウト-イン,ベント|左・ベント,バック,70.9,132,6468
アウト-イン,ベント|左・ベント,レギュラー,68.9,127,6028
アウト-イン,ベント|左・ベント,ゴールド,66.6,121,5507
アウト-イン,ベント|左・ベント,レディース,64.3,116,5009
アウト-イン,ベント|右・ベント,チャンピオン,72.5,136,6865
アウト-イン,ベント|右・ベント,バック,70.7,132,6453
アウト-イン,ベント|右・ベント,レギュラー,68.7,127,6013
アウト-イン,ベント|右・ベント,ゴールド,66.4,121,5492
アウト-イン,ベント|右・ベント,レディース,64.1,116,5004
