Course,Green,Tee,CR,SR,Yards
アウト-イン,ベント,バック,77.8,141,6806
アウト-イン,ベント,レギュラー,74.8,133,6251
アウト-イン,ベント,フロント,74.1,131,6114
アウト-イン,ベント,レディス,70.9,123,5512
